price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,state
850,apartment,1000,2,1,0,0,1,0,0,0,laundry in bldg,off-street parking,pa
1650,apartment,900,2,1,0,0,1,0,0,0,laundry on site,carport,ca
1000,apartment,800,1,1,1,1,0,0,0,1,no laundry on site,off-street parking,ct
2975,apartment,650,2,1,1,0,0,0,0,0,laundry in bldg,street parking,ca
945,apartment,675,1,1,1,0,1,0,0,0,laundry in bldg,off-street parking,wi
975,apartment,1350,2,2,0,0,0,0,0,0,w/d in unit,attached garage,wi
900,apartment,1032,2,1,1,1,1,0,0,0,w/d hookups,attached garage,ny
2000,apartment,1012,2,2,1,1,0,0,0,0,w/d in unit,detached garage,ca
1060,apartment,823,2,1,0,0,1,0,0,0,w/d in unit,off-street parking,il
795,apartment,700,1,1,1,1,1,0,0,0,laundry on site,off-street parking,ok
1401,apartment,1151,2,2,1,1,1,1,0,0,w/d in unit,attached garage,ny
2455,apartment,1699,2,2,1,1,0,1,1,0,w/d in unit,detached garage,ny
890,apartment,937,2,2,1,1,1,0,0,0,w/d hookups,off-street parking,ok
1800,apartment,2000,2,1,0,0,1,0,0,0,laundry on site,carport,fl
550,apartment,530,1,1,1,1,1,0,0,0,laundry in bldg,off-street parking,il
1035,apartment,1189,1,2,1,1,1,0,0,0,w/d hookups,off-street parking,al
4395,apartment,1080,2,2.5,1,1,0,0,0,0,w/d in unit,attached garage,ca
1110,apartment,1149,2,2,1,1,0,0,0,0,w/d in unit,off-street parking,mn
1670,apartment,750,1,1,1,1,1,0,0,0,laundry on site,carport,ca
950,apartment,1330,3,1,1,1,0,0,0,0,w/d hookups,street parking,wi
1027,apartment,1118,2,2,1,1,0,0,0,0,w/d in unit,off-street parking,ia
880,apartment,950,2,2,1,1,0,1,0,0,w/d in unit,off-street parking,ar
1250,apartment,1123,2,2,1,1,0,0,0,0,w/d in unit,carport,az
805,apartment,718,1,1,1,1,0,0,0,0,w/d in unit,carport,id
1100,apartment,700,2,1,0,0,0,0,0,0,laundry in bldg,off-street parking,tn
2200,apartment,1274,3,1,0,0,0,0,0,0,w/d in unit,off-street parking,wa
1450,apartment,1612,3,2,1,1,0,0,0,1,w/d in unit,attached garage,nc
1037,apartment,663,1,1,1,1,1,1,0,1,w/d in unit,attached garage,nc
1125,apartment,1000,1,1,1,1,0,1,0,1,w/d in unit,off-street parking,in
550,apartment,912,2,1,1,0,0,0,0,0,w/d hookups,off-street parking,oh
305,apartment,1200,4,2,1,1,1,0,0,1,w/d in unit,street parking,mo
1340,apartment,1202,3,2,1,1,0,1,0,0,w/d hookups,off-street parking,tn
2250,apartment,900,1,1,1,1,1,1,0,0,w/d in unit,attached garage,nj
890,apartment,640,1,1,1,1,1,0,0,0,w/d in unit,detached garage,tx
1400,apartment,795,1,1,0,0,1,0,0,0,w/d in unit,carport,id
1224,apartment,1040,2,1.5,1,1,0,0,0,0,laundry on site,carport,ca
685,apartment,600,1,1,0,0,1,0,0,0,laundry in bldg,off-street parking,ia
925,apartment,550,1,1,1,0,0,0,0,0,laundry in bldg,off-street parking,mn
575,apartment,750,1,1,1,1,1,0,0,0,laundry on site,off-street parking,ky
2450,apartment,2600,4,3,1,1,1,0,0,0,laundry in bldg,attached garage,ca
